DATE,Electricty_Consumption_in_TW
1/1/1973,35.9728
2/1/1973,36.1334
3/1/1973,35.0625
4/1/1973,33.8416
5/1/1973,33.5107
6/1/1973,36.4823
7/1/1973,39.1412
8/1/1973,41.4137
9/1/1973,40.1639
10/1/1973,37.1133
11/1/1973,37.0248
12/1/1973,38.4341
1/1/1974,40.7455
2/1/1974,39.834
3/1/1974,37.9408
4/1/1974,36.3004
5/1/1974,36.5293
6/1/1974,40.8899
7/1/1974,44.3563
8/1/1974,45.924
9/1/1974,44.4555
10/1/1974,40.6417
11/1/1974,39.4901
12/1/1974,38.9068
1/1/1975,40.0956
2/1/1975,39.6944
3/1/1975,38.304
4/1/1975,36.8939
5/1/1975,37.5668
6/1/1975,40.3832
7/1/1975,44.9671
8/1/1975,46.1853
9/1/1975,43.3001
10/1/1975,40.3836
11/1/1975,39.8092
12/1/1975,42.0597
1/1/1976,43.4099
2/1/1976,42.5826
3/1/1976,40.9244
4/1/1976,39.3533
5/1/1976,39.0766
6/1/1976,42.4851
7/1/1976,46.3693
8/1/1976,48.1945
9/1/1976,45.1688
10/1/1976,41.188
11/1/1976,40.8431
12/1/1976,44.1468
1/1/1977,47.6892
2/1/1977,44.8505
3/1/1977,42.8557
4/1/1977,41.0177
5/1/1977,40.7201
6/1/1977,45.061
7/1/1977,48.9685
8/1/1977,50.1898
9/1/1977,47.5982
10/1/1977,44.0684
11/1/1977,45.4267
12/1/1977,49.3447
1/1/1978,52.9153
2/1/1978,49.9488
3/1/1978,46.1749
4/1/1978,43.6652
5/1/1978,44.5402
6/1/1978,48.948
7/1/1978,53.8292
8/1/1978,54.1182
9/1/1978,50.998
10/1/1978,46.3711
11/1/1978,45.3267
12/1/1978,49.0027
1/1/1979,53.3617
2/1/1979,51.6279
3/1/1979,47.8264
4/1/1979,43.7935
5/1/1979,44.8591
6/1/1979,50.3292
7/1/1979,54.3579
8/1/1979,55.9197
9/1/1979,53.5776
10/1/1979,48.7261
11/1/1979,48.2585
12/1/1979,51.3008
1/1/1980,56.5838
2/1/1980,55.6802
3/1/1980,50.4428
4/1/1980,46.8693
5/1/1980,46.0886
6/1/1980,49.7595
7/1/1980,53.8273
8/1/1980,56.2272
9/1/1980,52.5737
10/1/1980,48.8947
11/1/1980,48.4081
12/1/1980,50.6659
1/1/1981,53.5867
2/1/1981,53.5461
3/1/1981,51.0708
4/1/1981,46.9172
5/1/1981,45.5795
6/1/1981,50.0235
7/1/1981,57.1384
8/1/1981,59.5376
9/1/1981,56.1935
10/1/1981,50.3249
11/1/1981,49.2234
12/1/1981,52.8176
1/1/1982,57.4002
2/1/1982,54.6248
3/1/1982,51.1896
4/1/1982,48.4958
5/1/1982,47.914
6/1/1982,54.5292
7/1/1982,59.5975
8/1/1982,59.6727
9/1/1982,54.9644
10/1/1982,50.4093
11/1/1982,49.7304
12/1/1982,53.4477
1/1/1983,57.8035
2/1/1983,54.3171
3/1/1983,51.2296
4/1/1983,48.5554
5/1/1983,47.3548
6/1/1983,51.8479
7/1/1983,56.4073
8/1/1983,57.0522
9/1/1983,53.2825
10/1/1983,48.6462
11/1/1983,48.5762
12/1/1983,50.9131
1/1/1984,53.8233
2/1/1984,52.0005
3/1/1984,49.8258
4/1/1984,48.1762
5/1/1984,46.8221
6/1/1984,52.1043
7/1/1984,59.2376
8/1/1984,63.0354
9/1/1984,58.8092
10/1/1984,52.0758
11/1/1984,51.5264
12/1/1984,56.4794
1/1/1985,60.9006
2/1/1985,57.131
3/1/1985,55.2857
4/1/1985,51.4436
5/1/1985,52.081
6/1/1985,57.541
7/1/1985,61.2397
8/1/1985,63.2502
9/1/1985,58.6939
10/1/1985,53.6227
11/1/1985,53.7972
12/1/1985,56.6369
1/1/1986,63.4267
2/1/1986,61.3016
3/1/1986,55.8488
4/1/1986,53.3782
5/1/1986,54.1358
6/1/1986,58.5966
7/1/1986,63.7333
8/1/1986,64.5506
9/1/1986,61.9159
10/1/1986,55.7588
11/1/1986,55.4629
12/1/1986,61.4175
1/1/1987,63.9303
2/1/1987,60.3646
3/1/1987,56.0702
4/1/1987,53.9762
5/1/1987,54.8074
6/1/1987,60.933
7/1/1987,67.8937
8/1/1987,66.6955
9/1/1987,62.8912
10/1/1987,57.8284
11/1/1987,57.0461
12/1/1987,62.1443
1/1/1988,65.1403
2/1/1988,62.3975
3/1/1988,59.346
4/1/1988,56.5817
5/1/1988,58.2626
6/1/1988,65.1768
7/1/1988,71.0094
8/1/1988,72.301
9/1/1988,65.8237
10/1/1988,59.7144
11/1/1988,59.6736
12/1/1988,64.4422
1/1/1989,70.3996
2/1/1989,67.92
3/1/1989,63.8744
4/1/1989,59.9583
5/1/1989,60.1815
6/1/1989,68.2487
7/1/1989,75.1146
8/1/1989,78.0872
9/1/1989,69.3406
10/1/1989,62.8362
11/1/1989,62.1364
12/1/1989,67.731
1/1/1990,70.0406
2/1/1990,68.7045
3/1/1990,66.3675
4/1/1990,61.405
5/1/1990,62.7297
6/1/1990,69.9173
7/1/1990,76.4218
8/1/1990,77.632
9/1/1990,71.0673
10/1/1990,65.3455
11/1/1990,65.608
12/1/1990,75.0806
1/1/1991,75.3432
2/1/1991,70.4279
3/1/1991,67.2785
4/1/1991,63.5089
5/1/1991,65.0637
6/1/1991,73.1867
7/1/1991,79.5446
8/1/1991,80.1356
9/1/1991,75.5456
10/1/1991,67.5532
11/1/1991,65.9821
12/1/1991,71.2865
1/1/1992,76.4893
2/1/1992,70.8296
3/1/1992,67.7166
4/1/1992,64.4234
5/1/1992,68.9159
6/1/1992,77.1266
7/1/1992,82.8681
8/1/1992,82.0134
9/1/1992,75.6726
10/1/1992,68.46
11/1/1992,68.5905
12/1/1992,72.5001
1/1/1993,76.3454
2/1/1993,72.5838
3/1/1993,68.2756
4/1/1993,65.6965
5/1/1993,66.5711
6/1/1993,73.0804
7/1/1993,80.3847
8/1/1993,79.5582
9/1/1993,74.6987
10/1/1993,68.8537
11/1/1993,69.6758
12/1/1993,76.0833
1/1/1994,77.6749
2/1/1994,75.1092
3/1/1994,71.1866
4/1/1994,66.8361
5/1/1994,68.0393
6/1/1994,76.7436
7/1/1994,85.8577
8/1/1994,85.9538
9/1/1994,77.5044
10/1/1994,69.29
11/1/1994,70.3729
12/1/1994,76.2577
1/1/1995,82.0302
2/1/1995,76.6372
3/1/1995,72.026
4/1/1995,68.0178
5/1/1995,69.5021
6/1/1995,80.7147
7/1/1995,87.1047
8/1/1995,85.5512
9/1/1995,78.5878
10/1/1995,71.5596
11/1/1995,72.1969
12/1/1995,77.3523
1/1/1996,81.6179
2/1/1996,77.511
3/1/1996,73.7351
4/1/1996,69.822
5/1/1996,73.0125
6/1/1996,81.5073
7/1/1996,90.4389
8/1/1996,94.6517
9/1/1996,82.2441
10/1/1996,74.7897
11/1/1996,75.0062
12/1/1996,81.2612
1/1/1997,86.6791
2/1/1997,82.4101
3/1/1997,78.417
4/1/1997,72.8635
5/1/1997,76.8456
6/1/1997,85.1667
7/1/1997,90.3823
8/1/1997,91.0586
9/1/1997,82.5919
10/1/1997,75.1195
11/1/1997,76.3487
12/1/1997,81.4314
1/1/1998,86.6427
2/1/1998,80.1913
3/1/1998,75.7104
4/1/1998,72.2515
5/1/1998,73.1001
6/1/1998,82.5125
7/1/1998,92.7738
8/1/1998,92.2841
9/1/1998,85.6932
10/1/1998,78.4057
11/1/1998,77.5792
12/1/1998,83.3847
1/1/1999,84.7572
2/1/1999,80.0052
3/1/1999,79.4386
4/1/1999,73.9566
5/1/1999,79.3736
6/1/1999,90.2293
7/1/1999,98.4901
8/1/1999,98.2941
9/1/1999,91.7894
10/1/1999,81.8528
11/1/1999,79.0292
12/1/1999,85.3087
1/1/2000,90.5209
2/1/2000,83.2535
3/1/2000,82.9765
4/1/2000,77.4012
5/1/2000,80.6012
6/1/2000,91.9652
7/1/2000,103.2199
8/1/2000,101.9993
9/1/2000,91.6262
10/1/2000,81.9097
11/1/2000,80.7085
12/1/2000,87.9622
1/1/2001,92.2252
2/1/2001,86.0219
3/1/2001,82.9416
4/1/2001,79.1183
5/1/2001,85.9385
6/1/2001,94.9666
7/1/2001,100.9385
8/1/2001,104.3357
9/1/2001,94.8055
10/1/2001,84.4761
11/1/2001,84.6713
12/1/2001,93.783
1/1/2002,97.4839
2/1/2002,88.46
3/1/2002,85.5145
4/1/2002,80.6255
5/1/2002,84.2219
6/1/2002,94.7114
7/1/2002,101.1429
8/1/2002,104.9186
9/1/2002,92.4048
10/1/2002,83.8666
11/1/2002,81.5255
12/1/2002,87.0653
1/1/2003,93.4462
2/1/2003,87.1882
3/1/2003,85.9872
4/1/2003,83.22
5/1/2003,86.4023
6/1/2003,97.2842
7/1/2003,107.8586
8/1/2003,107.234
9/1/2003,98.2105
10/1/2003,88.374
11/1/2003,85.3696
12/1/2003,92.7688
1/1/2004,99.2146
2/1/2004,93.808
3/1/2004,87.9245
4/1/2004,83.2149
5/1/2004,87.3502
6/1/2004,95.5287
7/1/2004,108.023
8/1/2004,110.549
9/1/2004,97.8965
10/1/2004,88.2913
11/1/2004,86.5869
12/1/2004,95.8509
1/1/2005,101.4854
2/1/2005,95.4539
3/1/2005,89.5912
4/1/2005,85.2382
5/1/2005,91.8307
6/1/2005,101.3472
7/1/2005,108.6568
8/1/2005,106.9236
9/1/2005,100.0361
10/1/2005,90.3099
11/1/2005,88.0298
12/1/2005,98.2432
1/1/2006,100.518
2/1/2006,93.4341
3/1/2006,92.0098
4/1/2006,85.0923
5/1/2006,89.2707
6/1/2006,105.3702
7/1/2006,115.7128
8/1/2006,117.2059
9/1/2006,106.2274
10/1/2006,93.865
11/1/2006,90.1143
12/1/2006,101.0209
1/1/2007,98.3652
2/1/2007,94.9756
3/1/2007,93.05
4/1/2007,87.1221
5/1/2007,93.3602
6/1/2007,106.4587
7/1/2007,118.258
8/1/2007,119.0322
9/1/2007,101.6588
10/1/2007,92.5908
11/1/2007,91.2439
12/1/2007,98.4618
1/1/2008,103.7172
2/1/2008,101.8218
3/1/2008,94.02
4/1/2008,89.3184
5/1/2008,95.1251
6/1/2008,106.7553
7/1/2008,114.3852
8/1/2008,121.094
9/1/2008,107.7787
10/1/2008,96.8831
11/1/2008,93.3234
12/1/2008,100.8597
1/1/2009,106.146
2/1/2009,100.4437
3/1/2009,95.026
4/1/2009,90.176
5/1/2009,93.8625
6/1/2009,109.5851
7/1/2009,117.3505
8/1/2009,113.8823
9/1/2009,103.3491
10/1/2009,93.2335
11/1/2009,91.8977
12/1/2009,101.8014
1/1/2010,105.7413
2/1/2010,96.4428
3/1/2010,92.2986
4/1/2010,86.8242
5/1/2010,90.6389
6/1/2010,103.0377
7/1/2010,110.6045
8/1/2010,112.5792
9/1/2010,100.4701
10/1/2010,90.9259
11/1/2010,88.1769
12/1/2010,102.5951
1/1/2011,107.8967
2/1/2011,101.9572
3/1/2011,93.2285
4/1/2011,86.0874
5/1/2011,93.7706
6/1/2011,110.3572
7/1/2011,120.1457
8/1/2011,120.2087
9/1/2011,106.1109
10/1/2011,91.6614
11/1/2011,90.634
12/1/2011,105.7792
1/1/2012,108.9151
2/1/2012,100.0117
3/1/2012,94.3484
4/1/2012,89.0821
5/1/2012,92.7937
6/1/2012,108.5421
7/1/2012,121.6974
8/1/2012,120.2822
9/1/2012,104.6692
10/1/2012,91.8217
11/1/2012,90.7683
12/1/2012,99.3654
1/1/2013,101.689
2/1/2013,95.5366
3/1/2013,91.0434
4/1/2013,87.5189
5/1/2013,96.5166
6/1/2013,107.0627
7/1/2013,120.8149
8/1/2013,117.2932
9/1/2013,102.4185
10/1/2013,91.8143
11/1/2013,90.4217
12/1/2013,97.8702
1/1/2014,104.3752
2/1/2014,97.7907
3/1/2014,95.528
4/1/2014,89.2783
5/1/2014,93.2729
6/1/2014,105.7336
7/1/2014,116.4651
8/1/2014,114.37
9/1/2014,104.3899
10/1/2014,93.5507
11/1/2014,93.0872
12/1/2014,104.1544
1/1/2015,111.8708
2/1/2015,103.499
3/1/2015,97.4134
4/1/2015,88.7323
5/1/2015,94.136
6/1/2015,106.5504
7/1/2015,114.2235
8/1/2015,113.923
9/1/2015,104.9454
10/1/2015,93.6892
11/1/2015,94.1108
12/1/2015,101.1895
1/1/2016,108.1515
2/1/2016,104.99
3/1/2016,97.5969
4/1/2016,88.5477
5/1/2016,93.5168
6/1/2016,108.1813
7/1/2016,118.3568
8/1/2016,117.1375
9/1/2016,107.3046
10/1/2016,92.9818
11/1/2016,89.4954
12/1/2016,96.3086
1/1/2017,105.1879
2/1/2017,98.0069
3/1/2017,90.8029
4/1/2017,87.4594
5/1/2017,92.2811
6/1/2017,109.6104
7/1/2017,121.7478
8/1/2017,123.2163
9/1/2017,108.4514
10/1/2017,93.4264
11/1/2017,89.9026
12/1/2017,101.8836
1/1/2018,102.9398
2/1/2018,92.0095
3/1/2018,93.3526
4/1/2018,86.8386
5/1/2018,93.2361
6/1/2018,107.1009
7/1/2018,119.2874
8/1/2018,115.7108
9/1/2018,103.407
10/1/2018,94.6492
11/1/2018,91.9079
12/1/2018,101.9883
1/1/2019,111.852
2/1/2019,97.3261
3/1/2019,93.8406
4/1/2019,89.1873
5/1/2019,97.586
6/1/2019,110.858
7/1/2019,122.1014
8/1/2019,121.7765
9/1/2019,109.719
